City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Saldanha,0,ZA,1579902556,82,-33.01,17.94,66.2,5.82
Itarema,41,BR,1579902556,68,-2.92,-39.92,81.05,7.99
Bitung,20,ID,1579902556,94,1.45,125.18,73.4,0.63
Laguna,1,US,1579902556,82,38.42,-121.42,66.99,4.7
Mataura,98,NZ,1579902556,95,-46.19,168.86,59.0,10.0
Shingu,76,JP,1579902556,67,33.73,135.98,48.45,8.28
Seoul,20,KR,1579902557,92,37.57,126.98,33.8,3.36
Luderitz,0,NA,1579902557,88,-26.65,15.16,68.0,5.82
Punta Arenas,90,CL,1579902419,87,-53.15,-70.92,46.4,9.17
Ribeira Grande,75,PT,1579902557,82,38.52,-28.7,57.2,5.82
Yellowknife,75,CA,1579902268,84,62.46,-114.35,5.0,9.17
Nyurba,99,RU,1579902557,95,63.28,118.33,-29.76,6.71
Chapleau,90,CA,1579902557,86,47.84,-83.4,30.2,6.93
Atuona,21,PF,1579902557,75,-9.8,-139.03,80.71,12.15
Hilo,90,US,1579902511,61,19.73,-155.09,80.6,11.41
Nanortalik,100,GL,1579902558,79,60.14,-45.24,23.25,25.46
Kailua,20,US,1579902558,65,21.4,-157.74,80.01,5.82
Mana,44,GF,1579902558,72,5.66,-53.78,80.2,5.75
Sao Miguel do Araguaia,100,BR,1579902558,92,-13.28,-50.16,75.7,5.59
Myitkyina,0,MM,1579902558,87,25.38,97.4,49.23,3.96
Cape Town,75,ZA,1579902307,100,-33.93,18.42,68.0,9.17
Dharchula,0,IN,1579902558,24,29.85,80.53,29.14,11.32
Busselton,37,AU,1579902559,61,-33.65,115.33,60.01,8.9
Szczytno,90,PL,1579902559,100,53.56,20.99,35.6,8.05
Butaritari,100,KI,1579902559,71,3.07,172.79,84.31,5.32
Bredasdorp,28,ZA,1579902559,88,-34.53,20.04,68.0,1.12
Kodinsk,100,RU,1579902559,94,58.69,99.18,23.68,7.54
Hithadhoo,67,MV,1579902559,77,-0.6,73.08,83.57,11.56
Atikokan,98,CA,1579902559,92,48.76,-91.62,27.81,4.09
Codrington,67,AU,1579902559,88,-38.27,141.97,60.62,16.82
Kurilsk,68,RU,1579902559,87,45.23,147.88,16.97,27.89
Esim,49,GH,1579902560,82,4.87,-2.24,80.35,3.65
Vao,28,NC,1579902560,81,-22.67,167.48,76.87,19.28
Kununurra,75,AU,1579902560,94,-15.77,128.73,82.4,5.1
Avarua,90,CK,1579902560,88,-21.21,-159.78,80.6,8.05
Bambous Virieux,75,MU,1579902560,100,-20.34,57.76,78.8,14.99
Hong Kong,40,HK,1579902533,88,22.29,114.16,71.01,11.41
Hambantota,0,LK,1579902560,76,6.12,81.12,79.9,23.42
Vaini,20,TO,1579902561,78,-21.2,-175.2,82.4,12.75
Hobart,75,AU,1579902302,51,-42.88,147.33,63.0,16.11
Albany,75,US,1579902339,41,42.6,-73.97,46.0,4.7
Ushuaia,40,AR,1579902561,54,-54.8,-68.3,55.4,6.98
Goundam,33,ML,1579902561,11,16.41,-3.67,77.16,11.61
Akdagmadeni,10,TR,1579902561,86,39.66,35.88,7.38,2.13
Tuatapere,100,NZ,1579902561,95,-46.13,167.68,59.0,10.0
Rikitea,0,PF,1579902413,76,-23.12,-134.97,78.39,16.31
Ukiah,40,US,1579902562,82,39.15,-123.21,61.0,4.7
Tessalit,100,ML,1579902562,11,20.2,1.01,78.13,11.34
Masuri,75,KR,1579902562,86,35.85,128.15,42.8,2.24
Brae,100,GB,1579902562,93,60.4,-1.35,44.6,10.29
Nikolskoye,40,RU,1579902562,86,59.7,30.79,35.01,13.42
George Town,20,MY,1579902562,73,5.41,100.34,80.6,2.24
San Quintin,100,MX,1579902563,69,30.48,-115.95,63.32,7.76
Green River,20,US,1579902338,80,41.53,-109.47,37.99,18.34
Talnakh,100,RU,1579902563,77,69.49,88.4,5.0,15.66
Nizhniy Kuranakh,93,RU,1579902563,96,58.84,125.49,-30.39,2.39
Nortelandia,44,BR,1579902563,69,-14.45,-56.8,85.57,3.27
Neuquen,0,AR,1579902563,16,-38.95,-68.06,93.2,10.29
Jamestown,90,US,1579902415,80,42.1,-79.24,45.0,10.29
Navahrudak,100,BY,1579902564,91,53.6,25.83,34.43,14.92
Chicama,40,PE,1579902564,78,-7.84,-79.15,78.8,13.87
Carnarvon,0,AU,1579902564,69,-24.87,113.63,75.2,11.41
Solnechnyy,73,RU,1579902564,76,50.72,136.63,-14.26,3.8
Constitucion,0,CL,1579902564,46,-35.33,-72.42,68.68,13.98
Husavik,100,IS,1579902564,86,66.04,-17.34,28.4,12.75
Beringovskiy,100,RU,1579902565,97,63.05,179.32,2.44,9.44
Qaanaaq,0,GL,1579902565,52,77.48,-69.36,-8.28,9.48
Provideniya,94,RU,1579902565,97,64.38,-173.3,-9.83,4.97
Bluff,100,NZ,1579902565,95,-46.6,168.33,59.0,10.0
Portland,90,US,1579902315,76,45.52,-122.68,55.99,5.82
Iquique,90,CL,1579902565,94,-20.22,-70.14,73.4,6.93
Llangefni,24,GB,1579902565,93,53.26,-4.31,45.0,10.29
Saint-Joseph,100,RE,1579902566,100,-21.37,55.62,80.6,23.04
San Rafael del Sur,20,NI,1579902566,43,11.85,-86.44,89.6,9.17
Washington,90,US,1579902548,100,47.5,-120.5,42.01,6.93
Hermanus,0,ZA,1579902566,92,-34.42,19.23,66.0,1.99
Mora,0,CM,1579902566,17,11.05,14.14,58.19,5.12
Ilulissat,100,GL,1579902566,61,69.22,-51.1,17.6,14.99
Belaya Gora,84,RU,1579902566,89,68.53,146.42,-34.35,1.3
Santa Vitoria do Palmar,0,BR,1579902566,52,-33.52,-53.37,80.91,7.31
Rawson,100,AR,1579902567,43,-43.3,-65.1,73.94,16.2
Arraial do Cabo,75,BR,1579902567,83,-22.97,-42.03,75.2,4.7
Saravan,40,AM,1579902567,54,39.72,45.65,28.4,9.17
Merauke,78,ID,1579902551,96,-8.47,140.33,74.52,7.34
Upernavik,73,GL,1579902567,96,72.79,-56.15,-13.31,5.01
Kutum,0,SD,1579902567,22,14.2,24.67,47.03,8.57
Ronne,100,DK,1579902568,100,55.1,14.71,41.0,20.8
Lompoc,1,US,1579902519,52,34.64,-120.46,73.4,3.36
Marghita,33,RO,1579902568,92,47.35,22.33,27.0,1.12
Santa Maria,0,BR,1579902568,54,-29.68,-53.81,82.4,8.05
West Fargo,90,US,1579902438,86,46.88,-96.9,28.0,4.7
Talas,0,TR,1579902568,78,38.69,35.55,17.6,3.36
Ostrovnoy,100,RU,1579902568,92,68.05,39.51,12.25,8.7
Hofn,100,IS,1579902569,93,64.25,-15.21,34.07,23.69
Coquimbo,1,CL,1579902396,60,-29.95,-71.34,73.4,13.87
Tiksi,0,RU,1579902569,88,71.69,128.87,-32.46,5.86
Aviles,75,ES,1579902569,87,43.55,-5.92,53.01,4.7
Egvekinot,43,RU,1579902569,92,66.32,-179.17,-10.34,3.94
Pachmarhi,2,IN,1579902569,63,22.47,78.43,56.79,0.2
Hamilton,75,US,1579902521,81,39.18,-84.53,48.2,10.29
Bethel,1,US,1579902569,33,41.37,-73.41,46.99,5.82
Multan,0,PK,1579902569,82,30.2,71.48,55.4,5.91
Kodiak,90,US,1579902570,61,57.79,-152.41,17.6,13.87
Vostok,77,RU,1579902570,98,46.49,135.88,-16.19,5.23
Sur,35,OM,1579902570,76,22.57,59.53,68.16,2.42
Port Elizabeth,21,ZA,1579902396,78,-33.92,25.57,71.6,6.93
Mopti,98,ML,1579902570,19,14.67,-4.0,80.6,4.7
Aklavik,90,CA,1579902570,76,68.22,-135.01,-4.0,13.87
Lavrentiya,0,RU,1579902570,78,65.58,-171.0,-16.02,3.58
Guerrero Negro,100,MX,1579902570,43,27.98,-114.06,69.17,9.78
Wucheng,100,CN,1579902571,96,29.6,118.17,40.64,7.31
Lebu,0,CL,1579902571,37,-37.62,-73.65,68.14,12.64
Thinadhoo,70,MV,1579902571,80,0.53,72.93,82.63,16.46
Saskylakh,100,RU,1579902571,91,71.92,114.08,-27.15,24.07
Cidreira,0,BR,1579902571,77,-30.18,-50.21,73.9,12.55
Putatan,75,MY,1579902571,83,5.93,116.06,75.2,5.82
Marzuq,100,YE,1579902571,69,14.4,46.47,66.79,1.36
Broome,90,US,1579902571,39,42.25,-75.83,48.2,9.17
Cherskiy,14,RU,1579902572,99,68.75,161.3,-39.3,3.18
Batagay-Alyta,0,RU,1579902572,58,67.8,130.41,-34.46,3.0
Sandakan,20,MY,1579902572,88,5.84,118.12,80.6,5.82
Urengoy,90,RU,1579902572,96,65.97,78.37,10.69,4.88
'Ewa Beach,1,US,1579902572,61,21.32,-158.01,80.01,5.82
Puerto Ayora,20,EC,1579902572,58,-0.74,-90.35,86.0,19.46
Olafsvik,100,IS,1579902572,78,64.89,-23.71,31.12,18.97
Campina Grande do Sul,75,BR,1579902572,72,-25.31,-49.06,68.0,19.46
Castro,2,BR,1579902572,77,-24.79,-50.01,68.56,5.59
Mikuni,20,JP,1579902573,59,36.22,136.15,37.4,17.22
Panzhihua,22,CN,1579902573,91,26.59,101.71,34.77,1.21
Kavieng,17,PG,1579902573,69,-2.57,150.8,83.05,8.16
Barrow,1,US,1579902301,82,71.29,-156.79,-25.6,9.17
Amapa,40,BR,1579902573,92,1.0,-52.0,77.56,5.53
Avallon,4,FR,1579902573,88,47.48,3.9,38.61,3.2
Los Llanos de Aridane,1,ES,1579902574,55,28.66,-17.92,62.6,6.93
Huilong,100,CN,1579902574,91,31.81,121.66,46.99,12.33
Port Hedland,0,AU,1579902574,94,-20.32,118.57,78.8,2.24
Saint-Philippe,72,RE,1579902574,100,-21.36,55.77,80.6,23.04
Finschhafen,68,PG,1579902574,75,-6.6,147.87,83.61,7.67
Nhulunbuy,40,AU,1579902574,88,-12.23,136.77,80.6,6.93
Praia,30,CV,1579902574,53,14.92,-23.51,75.2,18.34
Bud,90,US,1579902575,93,39.45,-86.18,43.0,9.17
La Ronge,20,CA,1579902575,68,55.1,-105.28,28.4,3.36
Evinayong,30,GQ,1579902575,98,1.44,10.55,69.89,2.35
Kafanchan,0,NG,1579902575,11,9.58,8.3,66.7,9.26
Leninskoye,0,RU,1579902575,85,47.94,132.62,-9.99,5.35
Vodnyy,81,RU,1579902575,98,63.5,53.41,-6.75,3.94
Kapaa,1,US,1579902431,69,22.08,-159.32,77.0,3.36
Holme,50,DK,1579902576,93,56.11,10.17,42.8,9.17
Saint Anthony,90,US,1579902576,86,45.02,-93.22,33.8,9.17
Key Largo,40,US,1579902431,61,25.09,-80.45,77.0,5.82
Panama,40,PA,1579902576,55,8.99,-79.52,88.0,12.75
Umm Lajj,0,SA,1579902576,64,25.02,37.27,56.53,8.75
Tiznit,87,MA,1579902576,71,29.58,-9.5,52.18,1.9
Srandakan,95,ID,1579902576,89,-7.94,110.25,75.38,2.46
Thompson,40,CA,1579902576,79,55.74,-97.86,19.4,6.93
North Bend,90,US,1579902335,82,43.41,-124.22,57.99,9.17
Panuco,90,MX,1579902577,83,22.05,-98.17,71.6,23.04
Dembi Dolo,11,ET,1579902577,39,8.53,34.8,66.9,2.95
Bakchar,100,RU,1579902577,93,57.02,82.07,28.85,7.38
Kaura Namoda,0,NG,1579902577,13,12.59,6.58,68.83,11.34
Hammerfest,75,NO,1579902577,92,70.66,23.68,32.0,23.04
Bariloche,75,AR,1579902577,30,-41.15,-71.31,69.8,23.04
Rafai,96,CF,1579902577,26,4.95,23.92,68.94,3.04
Whitehorse,90,CA,1579902328,78,60.72,-135.05,9.0,8.05
Dunedin,100,NZ,1579902519,69,-45.87,170.5,69.01,12.82
Diu,19,IN,1579902578,63,20.71,70.98,74.41,5.06
Linxia,2,CN,1579902578,73,35.6,103.21,17.15,1.14
Broken Hill,0,AU,1579902578,45,-31.95,141.43,64.4,4.7
Tuktoyaktuk,90,CA,1579902578,77,69.45,-133.04,-2.2,14.99
Martapura,82,ID,1579902578,100,-3.42,114.85,77.0,2.24
Porto Walter,100,BR,1579902579,68,-8.27,-72.74,82.74,1.72
Sandwick,40,GB,1579902327,81,60.0,-1.25,44.6,17.22
Bolotnoye,100,RU,1579902579,96,55.67,84.4,27.59,14.07
Karratha,19,AU,1579902579,77,-20.74,116.85,84.06,13.73
Chokurdakh,0,RU,1579902579,93,70.63,147.92,-35.07,4.14
Sola,19,VU,1579902579,94,-13.88,167.55,82.4,3.36
Havre-Saint-Pierre,1,CA,1579902579,47,50.23,-63.6,12.2,5.82
Madimba,90,TZ,1579902579,100,-10.4,40.33,75.2,2.95
Half Moon Bay,90,US,1579902579,77,37.46,-122.43,66.99,5.82
Ponta do Sol,20,PT,1579902580,58,32.67,-17.1,59.0,4.7
Mahebourg,75,MU,1579902580,100,-20.41,57.7,78.8,14.99
Ceres,1,US,1579902580,59,37.59,-120.96,66.99,10.29
Yangi Marg`ilon,40,UZ,1579902580,59,40.43,71.72,37.4,4.7
Port Alfred,78,ZA,1579902580,71,-33.59,26.89,73.99,4.0
Atar,100,MR,1579902580,17,20.52,-13.05,74.79,6.91
Port Lincoln,0,AU,1579902580,84,-34.73,135.87,61.38,8.14
Alpena,90,US,1579902581,86,45.06,-83.43,36.0,16.11
New Norfolk,75,AU,1579902581,51,-42.78,147.06,63.0,16.11
Parkes,0,AU,1579902581,27,-33.13,148.18,69.39,7.18
Adrar,21,MR,1579902581,30,20.5,-10.07,75.52,9.46
Katsina,0,NG,1579902581,13,12.99,7.6,67.62,13.04
Bilma,0,NE,1579902581,12,18.69,12.92,64.38,8.88
Severo-Kuril'sk,77,RU,1579902581,88,50.68,156.12,14.4,30.6
Longyearbyen,20,SJ,1579902581,49,78.22,15.64,3.2,38.03
Erzincan,0,TR,1579902582,53,39.75,39.5,21.2,5.5
Esperance,75,AU,1579902582,93,-33.87,121.9,60.8,9.17
Jaguarari,100,BR,1579902582,61,-10.26,-40.2,77.5,1.74
Uberaba,75,BR,1579902582,100,-19.75,-47.93,69.8,9.17
Key West,90,US,1579902582,73,24.56,-81.78,73.4,2.64
Mount Gambier,75,AU,1579902582,93,-37.83,140.77,60.8,8.05
Coahuayana Viejo,40,MX,1579902582,51,18.73,-103.68,80.6,11.41
Shimoda,100,JP,1579902583,81,34.67,138.95,48.0,24.83
Otuzco,40,PE,1579902583,78,-7.9,-78.58,78.8,13.87
Changli,15,CN,1579902583,75,39.7,119.15,23.05,4.47
Denham Springs,1,US,1579902371,43,30.49,-90.96,66.2,8.05
Pisco,75,PE,1579902583,30,-13.7,-76.22,73.99,11.41
Kiryat Gat,20,IL,1579902305,87,31.61,34.76,46.0,3.36
Necochea,0,AR,1579902583,85,-38.55,-58.74,71.01,7.0
Katsuura,75,JP,1579902583,45,35.13,140.3,46.4,13.87
Tual,99,ID,1579902584,73,-5.67,132.75,83.55,7.54
Santa Rosalia,95,MX,1579902584,35,27.32,-112.28,68.23,3.98
Waddan,3,LY,1579902584,32,29.16,16.14,57.72,9.08
Vila Velha,90,BR,1579902584,94,-20.33,-40.29,78.01,14.99
Bengkulu,100,ID,1579902584,96,-3.8,102.27,74.12,4.92
Bathsheba,75,BB,1579902584,78,13.22,-59.52,80.6,11.41
Marataizes,100,BR,1579902584,98,-21.04,-40.82,73.87,4.25
Kahului,20,US,1579902584,61,20.89,-156.47,80.6,5.82
Loiza,75,PR,1579902507,78,18.43,-65.88,79.0,8.05
Boves,40,IT,1579902585,81,44.33,7.55,50.0,14.99
Yanji,65,CN,1579902585,76,42.91,129.51,3.15,1.19
East London,93,ZA,1579902293,80,-33.02,27.91,75.58,10.0
Oum Hadjer,0,TD,1579902585,12,13.3,19.7,64.35,14.92
Flin Flon,40,CA,1579902585,92,54.77,-101.86,23.0,10.29
San Patricio,20,MX,1579902585,62,19.22,-104.7,86.0,11.41
Ocampo,72,MX,1579902586,38,21.65,-101.5,62.24,7.29
Fortuna,20,US,1579902586,63,40.6,-124.16,62.6,5.82
Sovetskiy,48,RU,1579902586,94,61.36,63.58,2.53,3.69
Chui,0,UY,1579902586,52,-33.7,-53.46,80.91,7.31
Midland,1,US,1579902415,44,32.0,-102.08,62.01,9.17
