City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
East London,90,ZA,1579453770,88,-33.02,27.91,64.4,6.93
George Town,20,MY,1579453844,100,5.41,100.34,80.6,3.53
Busselton,0,AU,1579453829,42,-33.65,115.33,66.0,13.13
Prince Rupert,40,CA,1579454017,80,54.32,-130.32,39.2,11.41
Ribeira Grande,75,PT,1579454018,82,38.52,-28.7,66.2,16.11
Porto-Novo,20,BJ,1579454018,70,6.5,2.6,87.8,8.05
Rikitea,34,PF,1579454018,80,-23.12,-134.97,77.88,14.14
Esperance,3,AU,1579454018,76,-33.87,121.9,57.2,6.93
Mosquera,75,CO,1579453790,55,4.71,-74.23,64.4,8.05
Flin Flon,20,CA,1579454018,75,54.77,-101.86,-18.4,5.59
Radhanpur,38,IN,1579454018,27,23.83,71.6,59.11,10.83
Butaritari,47,KI,1579454018,79,3.07,172.79,83.86,11.05
Ponta do Sol,40,PT,1579454019,82,32.67,-17.1,66.2,12.75
Fortuna,1,US,1579454019,93,40.6,-124.16,41.0,2.46
Kidal,0,ML,1579454019,19,18.44,1.41,68.61,8.68
Sao Filipe,5,CV,1579454019,74,14.9,-24.5,71.85,7.96
Port Lincoln,37,AU,1579454019,73,-34.73,135.87,61.9,17.22
Mar del Plata,0,AR,1579453877,33,-38.0,-57.56,96.01,11.41
Saint-Philippe,91,RE,1579454019,83,-21.36,55.77,80.6,2.24
Vitim,7,RU,1579454019,98,59.45,112.56,-11.04,5.39
Hilo,90,US,1579454020,64,19.73,-155.09,73.4,6.93
Tiksi,100,RU,1579454020,91,71.69,128.87,-2.96,7.18
Bandarbeyla,53,SO,1579454020,75,9.49,50.81,76.95,20.87
Visnes,75,NO,1579454020,93,59.36,5.22,45.0,9.17
Tigil,93,RU,1579454020,94,57.8,158.67,9.0,14.05
Klaksvik,100,FO,1579454020,100,62.23,-6.59,46.4,3.36
Upernavik,27,GL,1579454020,93,72.79,-56.15,-17.46,4.21
New Norfolk,75,AU,1579454021,76,-42.78,147.06,59.0,1.45
Saint-Joseph,92,RE,1579454021,83,-21.37,55.62,80.6,2.24
Jalu,66,LY,1579454021,56,29.03,21.55,58.32,8.03
Punta Arenas,20,CL,1579453837,44,-53.15,-70.92,57.2,38.03
Bambous Virieux,75,MU,1579454003,88,-20.34,57.76,81.0,3.36
Castro,22,BR,1579454021,41,-24.79,-50.01,83.68,2.64
Katherine,75,AU,1579454021,78,-14.47,132.27,82.4,11.41
Bartica,75,GY,1579454022,70,6.4,-58.62,86.0,13.87
Atuona,22,PF,1579454022,72,-9.8,-139.03,80.89,14.41
Mataura,100,NZ,1579454022,97,-46.19,168.86,54.0,1.99
